created_at,entry_id,field1,field2,field3
2023-07-12 05:58:25 UTC,1116,65.10000,25.40000,
2023-07-12 05:58:42 UTC,1117,64.70000,25.40000,
2023-07-12 05:58:58 UTC,1118,64.60000,25.40000,
2023-07-12 05:59:15 UTC,1119,65.70000,25.40000,
2023-07-12 05:59:31 UTC,1120,65.80000,25.40000,
2023-07-12 05:59:48 UTC,1121,65.90000,25.40000,
2023-07-12 06:00:06 UTC,1122,64.50000,25.40000,
2023-07-12 06:00:22 UTC,1123,65.10000,25.30000,
2023-07-12 06:00:38 UTC,1124,65.60000,25.30000,
2023-07-12 06:00:55 UTC,1125,65.10000,25.30000,
2023-07-12 06:01:11 UTC,1126,66.60000,25.40000,
2023-07-12 06:01:27 UTC,1127,67.10000,26.60000,
2023-07-12 06:01:44 UTC,1128,64.50000,25.40000,
2023-07-12 06:02:00 UTC,1129,64.90000,25.30000,
2023-07-12 06:02:17 UTC,1130,65.30000,25.30000,
2023-07-12 06:02:33 UTC,1131,64.70000,25.40000,
2023-07-12 06:02:50 UTC,1132,64.20000,25.30000,
2023-07-12 06:03:07 UTC,1133,64.20000,25.20000,
2023-07-12 06:03:24 UTC,1134,64.50000,25.20000,
2023-07-12 06:03:40 UTC,1135,64.70000,25.30000,
2023-07-12 06:03:56 UTC,1136,64.50000,25.30000,
2023-07-12 06:04:13 UTC,1137,64.70000,25.30000,
2023-07-12 06:04:30 UTC,1138,64.70000,25.30000,
2023-07-12 06:04:46 UTC,1139,64.30000,25.30000,
2023-07-12 06:05:02 UTC,1140,64.60000,25.30000,
2023-07-12 06:05:19 UTC,1141,64.10000,25.30000,
2023-07-12 06:05:35 UTC,1142,64.50000,25.30000,
2023-07-12 06:05:52 UTC,1143,64.70000,25.30000,
2023-07-12 06:06:09 UTC,1144,64.50000,25.30000,
2023-07-12 06:06:26 UTC,1145,64.10000,25.30000,
2023-07-12 06:06:42 UTC,1146,64.20000,25.20000,
2023-07-12 06:06:59 UTC,1147,64.10000,25.30000,
2023-07-12 06:07:15 UTC,1148,64.60000,25.30000,
2023-07-12 06:07:32 UTC,1149,64.50000,25.30000,
2023-07-12 06:07:48 UTC,1150,64.30000,25.20000,
2023-07-12 06:08:05 UTC,1151,64.50000,25.20000,
2023-07-12 06:08:21 UTC,1152,64.80000,25.20000,
2023-07-12 06:08:38 UTC,1153,65.40000,25.20000,
2023-07-12 06:08:54 UTC,1154,65.00000,25.20000,
2023-07-12 06:09:11 UTC,1155,66.20000,25.20000,
2023-07-12 06:09:28 UTC,1156,67.00000,25.20000,
2023-07-12 06:09:44 UTC,1157,65.20000,25.20000,
2023-07-12 06:10:00 UTC,1158,65.40000,25.20000,
2023-07-12 06:10:17 UTC,1159,65.40000,25.20000,
2023-07-12 06:10:33 UTC,1160,65.80000,25.30000,
2023-07-12 06:10:50 UTC,1161,65.40000,25.30000,
2023-07-12 06:11:07 UTC,1162,64.80000,25.20000,
2023-07-12 06:11:24 UTC,1163,65.60000,25.30000,
2023-07-12 06:11:41 UTC,1164,67.60000,25.20000,
2023-07-12 06:11:57 UTC,1165,66.50000,25.30000,
2023-07-12 06:12:14 UTC,1166,67.30000,25.40000,
2023-07-12 06:12:31 UTC,1167,65.10000,25.40000,
2023-07-12 06:12:47 UTC,1168,65.00000,25.40000,
2023-07-12 06:13:03 UTC,1169,64.30000,25.30000,
2023-07-12 06:13:20 UTC,1170,64.00000,25.30000,
2023-07-12 06:13:37 UTC,1171,65.10000,25.20000,
2023-07-12 06:13:53 UTC,1172,65.20000,25.20000,
2023-07-12 06:14:09 UTC,1173,65.50000,25.30000,
2023-07-12 06:14:26 UTC,1174,65.00000,25.20000,
2023-07-12 06:14:42 UTC,1175,65.40000,25.20000,
2023-07-12 06:14:59 UTC,1176,65.40000,25.20000,
2023-07-12 06:15:15 UTC,1177,65.00000,25.20000,
2023-07-12 06:15:31 UTC,1178,65.10000,25.20000,
2023-07-12 06:15:48 UTC,1179,64.90000,25.20000,
2023-07-12 06:16:04 UTC,1180,65.10000,25.20000,
2023-07-12 06:16:20 UTC,1181,64.50000,25.30000,
2023-07-12 06:16:37 UTC,1182,64.60000,25.20000,
2023-07-12 06:16:53 UTC,1183,64.90000,25.30000,
2023-07-12 06:17:09 UTC,1184,64.80000,25.20000,
2023-07-12 06:17:25 UTC,1185,64.20000,25.20000,
2023-07-12 06:17:42 UTC,1186,64.00000,25.20000,
2023-07-12 06:17:58 UTC,1187,64.00000,25.20000,
2023-07-12 06:18:14 UTC,1188,64.70000,25.20000,
2023-07-12 06:18:32 UTC,1189,64.50000,25.20000,
2023-07-12 06:18:48 UTC,1190,64.50000,25.20000,
2023-07-12 06:19:04 UTC,1191,64.60000,25.20000,
2023-07-12 06:19:44 UTC,1192,66.50000,25.30000,
2023-07-12 06:20:00 UTC,1193,64.20000,24.00000,
2023-07-12 06:20:16 UTC,1194,64.20000,25.40000,
2023-07-12 06:20:33 UTC,1195,64.10000,25.40000,
2023-07-12 06:20:49 UTC,1196,64.00000,25.40000,
2023-07-12 06:21:05 UTC,1197,64.00000,25.50000,
2023-07-12 06:21:23 UTC,1198,64.50000,25.70000,
2023-07-12 06:21:39 UTC,1199,64.20000,25.80000,
2023-07-12 06:21:56 UTC,1200,63.60000,25.90000,
2023-07-12 06:22:12 UTC,1201,63.10000,26.10000,
2023-07-12 06:22:29 UTC,1202,62.70000,26.10000,
2023-07-12 06:22:46 UTC,1203,62.50000,26.20000,
2023-07-12 06:23:07 UTC,1204,62.40000,26.30000,
2023-07-12 06:23:25 UTC,1205,61.80000,26.40000,
2023-07-12 06:23:43 UTC,1206,62.90000,26.20000,
2023-07-12 06:23:59 UTC,1207,61.00000,24.40000,
2023-07-12 06:24:16 UTC,1208,61.60000,26.30000,
2023-07-12 06:24:32 UTC,1209,61.70000,26.30000,
2023-07-12 06:24:49 UTC,1210,61.50000,26.20000,
2023-07-12 06:25:05 UTC,1211,63.70000,26.40000,
2023-07-12 06:25:24 UTC,1212,61.50000,26.10000,
2023-07-12 06:25:40 UTC,1213,61.70000,24.30000,
2023-07-12 06:25:57 UTC,1214,60.80000,25.10000,
2023-07-12 06:26:13 UTC,1215,63.00000,27.90000,
